BestLapTime,LapsComplete,PositionStart,Status,Driver,Team,TrackType,Track,PositionFinish
01:02.5,100,20,0,Alexander Rossi,Ed Carpenter Racing,Street,STP,10
01:01.8,100,16,0,Callum Ilott,Arrow McLaren,Street,STP,11
01:02.1,100,19,0,Callum Ilott,Juncos Hollinger Racing,Street,STP,19
01:02.1,100,22,0,Callum Ilott,Juncos Hollinger Racing,Street,STP,5
01:02.5,100,27,0,Callum Ilott,PREMA Racing,Street,STP,19
01:02.1,100,5,0,Christian Lundgaard,Arrow McLaren,Street,STP,8
01:02.0,100,15,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Street,STP,11
01:01.7,100,11,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Street,STP,9
01:01.2,100,12,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Street,STP,18
01:02.0,99,21,0,Christian Rasmussen,Ed Carpenter Racing,Street,STP,19
01:02.7,100,24,0,Christian Rasmussen,Ed Carpenter Racing,Street,STP,15
01:02.5,100,2,0,Colton Herta,Andretti Global,Street,STP,16
01:01.7,100,3,0,Colton Herta,Andretti Global,Street,STP,4
01:02.1,49,2,1,Colton Herta,Andretti Global,Street,STP,20
01:01.5,100,4,0,Colton Herta,Andretti Global,Street,STP,3
01:01.0,100,20,0,Conor Daly,Ed Carpenter Racing,Street,STP,21
01:02.2,99,26,0,Conor Daly,Ed Carpenter Racing,Street,STP,14
01:02.8,100,22,0,Conor Daly,Juncos Hollinger Racing,Street,STP,17
01:02.3,100,17,0,David Malukas,A.J. Foyt Enterprises,Street,STP,13
01:02.5,23,24,1,David Malukas,Dale Coyne Racing,Street,STP,26
01:02.2,100,16,0,David Malukas,Dale Coyne Racing,Street,STP,10
01:01.9,100,18,0,Devlin DeFrancesco,Andretti Global,Street,STP,22
01:03.3,0,18,1,Devlin DeFrancesco,Andretti Global,Street,STP,25
01:02.1,99,14,0,Devlin DeFrancesco,Rahal Letterman Lanigan Racing,Street,STP,22
01:01.8,100,21,0,Felix Rosenqvist,Arrow McLaren,Street,STP,17
01:01.8,51,8,1,Felix Rosenqvist,Arrow McLaren,Street,STP,19
01:01.4,100,2,0,Felix Rosenqvist,Meyer Shank Racing,Street,STP,5
01:01.9,100,3,0,Felix Rosenqvist,Meyer Shank Racing,Street,STP,7
01:01.9,100,11,0,Graham Rahal,Rahal Letterman Lanigan Racing,Street,STP,7
01:02.2,100,20,0,Graham Rahal,Rahal Letterman Lanigan Racing,Street,STP,6
01:01.1,100,22,0,Graham Rahal,Rahal Letterman Lanigan Racing,Street,STP,14
01:02.4,100,21,0,Graham Rahal,Rahal Letterman Lanigan Racing,Street,STP,12
01:03.3,99,25,0,Jacob Abel,Dale Coyne Racing,Street,STP,23
01:01.8,100,9,0,Josef Newgarden,Team Penske,Street,STP,16
01:01.9,95,14,0,Josef Newgarden,Team Penske,Street,STP,17
01:03.3,0,1,1,Josef Newgarden,Team Penske,Street,STP,26
01:01.7,100,10,0,Josef Newgarden,Team Penske,Street,STP,3
01:00.9,100,23,0,Kyffin Simpson,Chip Ganassi Racing,Street,STP,12
01:02.6,100,15,0,Kyffin Simpson,Chip Ganassi Racing,Street,STP,18
01:02.0,100,12,0,Kyle Kirkwood,A.J. Foyt Enterprises,Street,STP,18
01:01.9,97,5,0,Kyle Kirkwood,Andretti Global,Street,STP,15
01:01.4,100,18,0,Kyle Kirkwood,Andretti Global,Street,STP,10
01:02.1,100,9,0,Kyle Kirkwood,Andretti Global,Street,STP,5
01:03.3,0,16,1,Louis Foster,Rahal Letterman Lanigan Racing,Street,STP,27
01:01.9,100,13,0,Marcus Armstrong,Chip Ganassi Racing,Street,STP,11
01:01.9,25,10,1,Marcus Armstrong,Chip Ganassi Racing,Street,STP,25
01:02.2,46,4,1,Marcus Armstrong,Meyer Shank Racing,Street,STP,24
01:01.9,52,6,1,Marcus Ericsson,Andretti Global,Street,STP,23
01:02.4,100,7,0,Marcus Ericsson,Andretti Global,Street,STP,6
01:01.6,100,8,0,Marcus Ericsson,Chip Ganassi Racing,Street,STP,9
01:01.7,100,4,0,Marcus Ericsson,Chip Ganassi Racing,Street,STP,1
01:03.3,0,11,1,Nolan Siegel,Arrow McLaren,Street,STP,25
01:01.7,100,16,0,Pato O'Ward,Arrow McLaren,Street,STP,12
01:01.7,100,3,0,Pato O'Ward,Arrow McLaren,Street,STP,2
01:01.5,100,3,0,Pato O'Ward,Arrow McLaren,Street,STP,1
01:02.1,100,23,0,Pato O'Ward,Arrow McLaren,Street,STP,11
01:01.9,100,12,0,Rinus VeeKay,Dale Coyne Racing,Street,STP,9
01:02.0,100,4,0,Rinus VeeKay,Ed Carpenter Racing,Street,STP,6
01:02.4,41,24,1,Rinus VeeKay,Ed Carpenter Racing,Street,STP,21
01:01.7,100,7,0,Rinus VeeKay,Ed Carpenter Racing,Street,STP,8
01:02.8,100,18,0,Robert Shwartzman,PREMA Racing,Street,STP,20
01:03.3,0,17,1,Santino Ferrucci,A.J. Foyt Enterprises,Street,STP,24
01:01.8,100,14,0,Santino Ferrucci,A.J. Foyt Enterprises,Street,STP,9
01:02.7,100,19,0,Santino Ferrucci,A.J. Foyt Enterprises,Street,STP,14
01:01.4,100,7,0,Scott Dixon,Chip Ganassi Racing,Street,STP,8
01:01.6,100,9,0,Scott Dixon,Chip Ganassi Racing,Street,STP,3
01:01.2,100,11,0,Scott Dixon,Chip Ganassi Racing,Street,STP,7
01:02.3,100,6,0,Scott Dixon,Chip Ganassi Racing,Street,STP,2
01:01.5,100,1,0,Scott McLaughlin,Team Penske,Street,STP,1
01:02.0,99,6,0,Scott McLaughlin,Team Penske,Street,STP,13
01:03.3,0,9,1,Scott McLaughlin,Team Penske,Street,STP,27
01:02.0,100,1,0,Scott McLaughlin,Team Penske,Street,STP,4
01:02.3,33,24,1,Sting Ray Robb,A.J. Foyt Enterprises,Street,STP,24
01:02.7,96,23,1,Sting Ray Robb,Dale Coyne Racing,Street,STP,16
01:02.7,99,26,0,Sting Ray Robb,Juncos Hollinger Racing,Street,STP,21
01:01.5,100,2,0,Will Power,Team Penske,Street,STP,3
01:01.9,100,10,0,Will Power,Team Penske,Street,STP,7
01:01.1,100,8,0,Will Power,Team Penske,Street,STP,2
01:03.3,0,13,1,Will Power,Team Penske,Street,STP,26
00:23.9,248,11,0,Alex Palou,Chip Ganassi Racing,Oval,TEX,7
00:23.5,250,7,0,Alex Palou,Chip Ganassi Racing,Oval,TEX,3
00:23.9,11,12,1,Alexander Rossi,Andretti Global,Oval,TEX,27
00:23.7,243,3,0,Alexander Rossi,Arrow McLaren,Oval,TEX,22
00:24.0,247,20,0,Callum Ilott,Juncos Hollinger Racing,Oval,TEX,16
00:24.0,249,17,0,Callum Ilott,Juncos Hollinger Racing,Oval,TEX,9
00:23.8,233,24,1,Christian Lundgaard,Rahal Letterman Lanigan Racing,Oval,TEX,19
00:23.9,247,27,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Oval,TEX,19
00:23.7,247,9,0,Colton Herta,Andretti Global,Oval,TEX,12
00:23.5,250,10,0,Colton Herta,Andretti Global,Oval,TEX,7
00:23.9,245,16,0,Conor Daly,Ed Carpenter Racing,Oval,TEX,18
00:24.2,246,25,0,Conor Daly,Ed Carpenter Racing,Oval,TEX,20
00:23.9,248,19,0,David Malukas,Dale Coyne Racing,Oval,TEX,11
00:23.8,250,9,0,David Malukas,Dale Coyne Racing,Oval,TEX,4
00:23.8,128,17,1,Devlin DeFrancesco,Andretti Global,Oval,TEX,24
00:23.8,221,12,1,Devlin DeFrancesco,Andretti Global,Oval,TEX,23
00:23.5,138,1,1,Felix Rosenqvist,Arrow McLaren,Oval,TEX,21
00:23.5,177,1,1,Felix Rosenqvist,Arrow McLaren,Oval,TEX,26
00:23.8,128,26,1,Graham Rahal,Rahal Letterman Lanigan Racing,Oval,TEX,22
00:24.1,219,24,1,Graham Rahal,Rahal Letterman Lanigan Racing,Oval,TEX,24
00:23.8,248,7,0,Josef Newgarden,Team Penske,Oval,TEX,1
00:23.7,250,4,0,Josef Newgarden,Team Penske,Oval,TEX,1
00:23.8,113,23,1,Kyle Kirkwood,A.J. Foyt Enterprises,Oval,TEX,25
00:24.2,97,20,1,Kyle Kirkwood,Andretti Global,Oval,TEX,27
00:23.7,248,14,0,Marcus Ericsson,Chip Ganassi Racing,Oval,TEX,3
00:23.8,249,16,0,Marcus Ericsson,Chip Ganassi Racing,Oval,TEX,8
00:23.5,247,10,0,Pato O'Ward,Arrow McLaren,Oval,TEX,15
00:23.4,250,5,0,Pato O'Ward,Arrow McLaren,Oval,TEX,2
00:23.9,248,8,0,Rinus VeeKay,Ed Carpenter Racing,Oval,TEX,10
00:24.0,249,26,0,Rinus VeeKay,Ed Carpenter Racing,Oval,TEX,11
00:23.9,246,14,0,Santino Ferrucci,A.J. Foyt Enterprises,Oval,TEX,21
00:24.0,248,27,0,Santino Ferrucci,Rahal Letterman Lanigan Racing,Oval,TEX,9
00:23.6,248,5,0,Scott Dixon,Chip Ganassi Racing,Oval,TEX,5
00:23.6,250,2,0,Scott Dixon,Chip Ganassi Racing,Oval,TEX,5
00:23.8,248,2,0,Scott McLaughlin,Team Penske,Oval,TEX,2
00:23.9,250,15,0,Scott McLaughlin,Team Penske,Oval,TEX,6
00:23.9,208,23,1,Sting Ray Robb,Dale Coyne Racing,Oval,TEX,25
00:23.7,248,4,0,Will Power,Team Penske,Oval,TEX,4
00:23.6,248,8,0,Will Power,Team Penske,Oval,TEX,16
01:43.9,65,3,0,Alex Palou,Chip Ganassi Racing,Road,THRM,1
01:44.8,65,6,0,Alexander Rossi,Ed Carpenter Racing,Road,THRM,9
01:44.5,64,22,0,Callum Ilott,PREMA Racing,Road,THRM,26
01:43.8,65,2,0,Christian Lundgaard,Arrow McLaren,Road,THRM,3
01:45.1,65,19,0,Christian Rasmussen,Ed Carpenter Racing,Road,THRM,12
01:44.8,65,4,0,Colton Herta,Andretti Global,Road,THRM,4
01:45.7,65,15,0,Conor Daly,Juncos Hollinger Racing,Road,THRM,16
01:45.3,65,12,0,David Malukas,A.J. Foyt Enterprises,Road,THRM,18
01:43.6,64,26,0,Devlin DeFrancesco,Rahal Letterman Lanigan Racing,Road,THRM,20
01:43.6,65,9,0,Felix Rosenqvist,Meyer Shank Racing,Road,THRM,5
01:45.0,65,18,0,Graham Rahal,Rahal Letterman Lanigan Racing,Road,THRM,11
01:45.0,64,23,0,Jacob Abel,Dale Coyne Racing,Road,THRM,25
01:44.3,65,17,0,Josef Newgarden,Team Penske,Road,THRM,13
01:44.9,65,20,0,Kyffin Simpson,Chip Ganassi Racing,Road,THRM,15
01:44.8,65,8,0,Kyle Kirkwood,Andretti Global,Road,THRM,8
01:44.8,64,10,0,Louis Foster,Rahal Letterman Lanigan Racing,Road,THRM,24
01:45.2,65,7,0,Marcus Armstrong,Meyer Shank Racing,Road,THRM,7
01:45.3,64,5,0,Marcus Ericsson,Andretti Global,Road,THRM,21
01:44.5,65,16,0,Nolan Siegel,Arrow McLaren,Road,THRM,19
01:43.4,65,1,0,Pato O'Ward,Arrow McLaren,Road,THRM,2
01:44.6,65,13,0,Rinus VeeKay,Dale Coyne Racing,Road,THRM,17
01:45.4,64,27,0,Robert Shwartzman,PREMA Racing,Road,THRM,22
01:45.2,65,14,0,Santino Ferrucci,A.J. Foyt Enterprises,Road,THRM,14
01:44.0,65,11,0,Scott Dixon,Chip Ganassi Racing,Road,THRM,10
01:43.9,53,25,1,Scott McLaughlin,Team Penske,Road,THRM,27
01:45.2,64,24,0,Sting Ray Robb,Juncos Hollinger Racing,Road,THRM,23
01:44.2,65,21,0,Will Power,Team Penske,Road,THRM,6
01:01.1,85,22,0,Alex Palou,Chip Ganassi Racing,Street,TOR,6
01:02.1,85,15,0,Alex Palou,Chip Ganassi Racing,Street,TOR,2
01:01.4,85,18,0,Alex Palou,Chip Ganassi Racing,Street,TOR,4
01:01.3,44,4,1,Alexander Rossi,Andretti Global,Street,TOR,23
01:02.5,84,26,0,Alexander Rossi,Arrow McLaren,Street,TOR,16
01:01.1,85,7,0,Callum Ilott,Juncos Hollinger Racing,Street,TOR,14
01:02.4,81,16,1,Callum Ilott,Juncos Hollinger Racing,Street,TOR,18
01:01.4,85,10,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Street,TOR,8
01:01.2,85,1,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Street,TOR,1
01:01.6,85,16,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Street,TOR,7
01:07.1,0,12,1,Christian Rasmussen,Ed Carpenter Racing,Street,TOR,27
01:01.1,85,1,0,Colton Herta,Andretti Global,Street,TOR,2
01:01.8,85,14,0,Colton Herta,Andretti Global,Street,TOR,3
01:01.6,85,1,0,Colton Herta,Andretti Global,Street,TOR,1
01:01.8,85,25,0,Conor Daly,Ed Carpenter Racing,Street,TOR,20
01:00.8,85,5,0,David Malukas,Dale Coyne Racing,Street,TOR,12
01:02.4,69,17,1,David Malukas,Dale Coyne Racing,Street,TOR,20
01:01.6,85,6,0,David Malukas,Meyer Shank Racing,Street,TOR,6
01:01.6,85,12,0,Devlin DeFrancesco,Andretti Global,Street,TOR,18
01:07.1,10,22,1,Devlin DeFrancesco,Andretti Global,Street,TOR,23
01:01.3,85,8,0,Felix Rosenqvist,Arrow McLaren,Street,TOR,3
01:01.5,85,5,0,Felix Rosenqvist,Arrow McLaren,Street,TOR,10
01:01.5,63,3,1,Felix Rosenqvist,Meyer Shank Racing,Street,TOR,23
01:01.3,85,14,0,Graham Rahal,Rahal Letterman Lanigan Racing,Street,TOR,4
01:02.2,85,27,0,Graham Rahal,Rahal Letterman Lanigan Racing,Street,TOR,9
01:01.8,85,8,0,Graham Rahal,Rahal Letterman Lanigan Racing,Street,TOR,10
01:01.0,85,3,0,Josef Newgarden,Team Penske,Street,TOR,10
01:01.7,85,11,0,Josef Newgarden,Team Penske,Street,TOR,5
01:01.5,85,7,0,Josef Newgarden,Team Penske,Street,TOR,11
01:01.5,66,20,1,Kyffin Simpson,Chip Ganassi Racing,Street,TOR,22
01:01.9,58,24,1,Kyle Kirkwood,A.J. Foyt Enterprises,Street,TOR,22
01:01.4,85,8,0,Kyle Kirkwood,Andretti Global,Street,TOR,15
01:01.7,85,2,0,Kyle Kirkwood,Andretti Global,Street,TOR,2
01:01.8,85,10,0,Marcus Armstrong,Chip Ganassi Racing,Street,TOR,7
01:01.4,85,13,0,Marcus Armstrong,Chip Ganassi Racing,Street,TOR,5
01:01.7,72,11,1,Marcus Ericsson,Andretti Global,Street,TOR,18
01:01.3,85,9,0,Marcus Ericsson,Chip Ganassi Racing,Street,TOR,5
01:02.0,85,4,0,Marcus Ericsson,Chip Ganassi Racing,Street,TOR,11
01:01.7,72,19,1,Nolan Siegel,Arrow McLaren,Street,TOR,21
01:01.2,85,15,0,Pato O'Ward,Arrow McLaren,Street,TOR,11
01:01.5,85,3,0,Pato O'Ward,Arrow McLaren,Street,TOR,8
01:01.9,72,14,1,Pato O'Ward,Arrow McLaren,Street,TOR,17
01:01.6,85,20,0,Rinus VeeKay,Ed Carpenter Racing,Street,TOR,13
01:02.2,85,12,0,Rinus VeeKay,Ed Carpenter Racing,Street,TOR,13
01:01.2,85,22,0,Rinus VeeKay,Ed Carpenter Racing,Street,TOR,8
01:03.5,82,24,0,Santino Ferrucci,A.J. Foyt Enterprises,Street,TOR,17
01:01.8,72,17,1,Santino Ferrucci,A.J. Foyt Enterprises,Street,TOR,20
01:01.2,85,2,0,Scott Dixon,Chip Ganassi Racing,Street,TOR,1
01:01.9,85,7,0,Scott Dixon,Chip Ganassi Racing,Street,TOR,4
01:01.1,85,15,0,Scott Dixon,Chip Ganassi Racing,Street,TOR,3
01:01.5,85,6,0,Scott McLaughlin,Team Penske,Street,TOR,9
01:01.6,85,2,0,Scott McLaughlin,Team Penske,Street,TOR,6
01:01.5,76,4,1,Scott McLaughlin,Team Penske,Street,TOR,16
01:03.0,13,27,1,Sting Ray Robb,A.J. Foyt Enterprises,Street,TOR,25
01:03.6,81,23,0,Sting Ray Robb,Dale Coyne Racing,Street,TOR,19
01:01.7,85,16,0,Will Power,Team Penske,Street,TOR,15
01:01.9,85,6,0,Will Power,Team Penske,Street,TOR,14
01:01.6,85,9,0,Will Power,Team Penske,Street,TOR,12
01:13.9,95,11,0,Alex Palou,Chip Ganassi Racing,Road,WRLS,1
01:08.4,95,5,0,Alex Palou,Chip Ganassi Racing,Road,WRLS,3
01:09.1,95,1,0,Alex Palou,Chip Ganassi Racing,Road,WRLS,1
01:14.5,95,3,0,Alexander Rossi,Andretti Global,Road,WRLS,10
01:09.7,95,15,0,Alexander Rossi,Arrow McLaren,Road,WRLS,7
01:09.4,95,5,0,Alexander Rossi,Arrow McLaren,Road,WRLS,3
01:14.8,37,2,1,Callum Ilott,Juncos Hollinger Racing,Road,WRLS,26
01:09.6,95,20,0,Callum Ilott,Juncos Hollinger Racing,Road,WRLS,5
01:15.4,95,16,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Road,WRLS,5
01:09.1,95,3,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Road,WRLS,6
01:10.1,95,6,0,Christian Lundgaard,Rahal Letterman Lanigan Racing,Road,WRLS,15
01:10.1,95,21,0,Christian Rasmussen,Ed Carpenter Racing,Road,WRLS,13
01:14.3,95,18,0,Colton Herta,Andretti Global,Road,WRLS,11
01:09.1,80,12,1,Colton Herta,Andretti Global,Road,WRLS,23
01:09.5,95,4,0,Colton Herta,Andretti Global,Road,WRLS,2
01:15.8,93,15,0,Conor Daly,Ed Carpenter Racing,Road,WRLS,24
01:15.0,94,6,0,David Malukas,Dale Coyne Racing,Road,WRLS,13
01:09.3,93,22,0,David Malukas,Dale Coyne Racing,Road,WRLS,20
01:10.0,95,12,0,David Malukas,Meyer Shank Racing,Road,WRLS,16
01:15.7,94,20,0,Devlin DeFrancesco,Andretti Global,Road,WRLS,15
01:09.4,91,26,0,Devlin DeFrancesco,Andretti Global,Road,WRLS,22
01:15.1,95,8,0,Felix Rosenqvist,Arrow McLaren,Road,WRLS,4
01:09.1,93,1,0,Felix Rosenqvist,Arrow McLaren,Road,WRLS,19
01:10.0,95,3,0,Felix Rosenqvist,Meyer Shank Racing,Road,WRLS,11
01:14.8,94,19,0,Graham Rahal,Rahal Letterman Lanigan Racing,Road,WRLS,18
01:15.8,0,10,1,Graham Rahal,Rahal Letterman Lanigan Racing,Road,WRLS,27
01:10.4,86,19,1,Graham Rahal,Rahal Letterman Lanigan Racing,Road,WRLS,24
01:14.6,95,25,0,Josef Newgarden,Team Penske,Road,WRLS,2
01:10.0,91,4,0,Josef Newgarden,Team Penske,Road,WRLS,21
01:09.2,95,14,0,Josef Newgarden,Team Penske,Road,WRLS,19
01:09.4,86,22,1,Kyffin Simpson,Chip Ganassi Racing,Road,WRLS,23
01:15.7,94,17,0,Kyle Kirkwood,A.J. Foyt Enterprises,Road,WRLS,21
01:08.8,65,16,0,Kyle Kirkwood,Andretti Global,Road,WRLS,25
01:09.9,95,2,0,Kyle Kirkwood,Andretti Global,Road,WRLS,5
01:08.9,95,14,0,Marcus Armstrong,Chip Ganassi Racing,Road,WRLS,8
01:09.9,93,11,0,Marcus Armstrong,Chip Ganassi Racing,Road,WRLS,22
01:09.0,95,18,0,Marcus Ericsson,Andretti Global,Road,WRLS,10
01:14.8,95,9,0,Marcus Ericsson,Chip Ganassi Racing,Road,WRLS,9
01:08.5,94,18,0,Marcus Ericsson,Chip Ganassi Racing,Road,WRLS,15
01:09.8,95,23,0,Nolan Siegel,Arrow McLaren,Road,WRLS,12
01:13.8,95,5,0,Pato O'Ward,Arrow McLaren,Road,WRLS,8
01:08.5,95,9,0,Pato O'Ward,Arrow McLaren,Road,WRLS,9
01:09.3,95,9,0,Pato O'Ward,Arrow McLaren,Road,WRLS,8
01:14.4,94,14,0,Rinus VeeKay,Ed Carpenter Racing,Road,WRLS,14
01:09.7,93,6,0,Rinus VeeKay,Ed Carpenter Racing,Road,WRLS,18
01:09.5,72,20,1,Rinus VeeKay,Ed Carpenter Racing,Road,WRLS,26
01:08.9,94,17,0,Santino Ferrucci,A.J. Foyt Enterprises,Road,WRLS,17
01:09.2,95,17,0,Santino Ferrucci,A.J. Foyt Enterprises,Road,WRLS,9
01:14.9,95,13,0,Scott Dixon,Chip Ganassi Racing,Road,WRLS,12
01:08.9,95,11,0,Scott Dixon,Chip Ganassi Racing,Road,WRLS,1
01:10.0,95,10,0,Scott Dixon,Chip Ganassi Racing,Road,WRLS,6
01:15.1,95,7,0,Scott McLaughlin,Team Penske,Road,WRLS,6
01:09.4,95,2,0,Scott McLaughlin,Team Penske,Road,WRLS,2
01:09.2,93,7,0,Scott McLaughlin,Team Penske,Road,WRLS,21
01:10.7,94,25,0,Sting Ray Robb,A.J. Foyt Enterprises,Road,WRLS,20
01:09.9,95,24,0,Sting Ray Robb,Dale Coyne Racing,Road,WRLS,12
01:14.4,95,1,0,Will Power,Team Penske,Road,WRLS,3
01:09.4,95,7,0,Will Power,Team Penske,Road,WRLS,4
01:09.6,95,15,0,Will Power,Team Penske,Road,WRLS,7
01:47.0,55,2,0,Alex Palou,Chip Ganassi Racing,Road,R-AM,1
01:47.6,55,24,0,Alexander Rossi,Ed Carpenter Racing,Road,R-AM,13
01:48.1,55,9,0,Callum Ilott,PREMA Racing,Road,R-AM,15
01:47.7,55,5,0,Christian Lundgaard,Arrow McLaren,Road,R-AM,24
01:47.9,55,20,0,Christian Rasmussen,Ed Carpenter Racing,Road,R-AM,18
01:48.8,55,16,0,Colton Herta,Andretti Global,Road,R-AM,16
01:48.1,55,21,0,Conor Daly,Juncos Hollinger Racing,Road,R-AM,22
01:47.4,55,7,0,David Malukas,A.J. Foyt Enterprises,Road,R-AM,7
01:48.3,55,19,0,Devlin DeFrancesco,Rahal Letterman Lanigan Racing,Road,R-AM,19
01:46.8,55,12,0,Felix Rosenqvist,Meyer Shank Racing,Road,R-AM,2
01:48.4,55,6,0,Graham Rahal,Rahal Letterman Lanigan Racing,Road,R-AM,20
01:49.0,55,27,0,Jacob Abel,Dale Coyne Racing,Road,R-AM,23
01:48.0,30,10,1,Josef Newgarden,Team Penske,Road,R-AM,25
01:47.5,55,23,0,Kyffin Simpson,Chip Ganassi Racing,Road,R-AM,6
01:47.8,55,3,0,Kyle Kirkwood,Andretti Global,Road,R-AM,4
01:47.9,55,1,0,Louis Foster,Rahal Letterman Lanigan Racing,Road,R-AM,11
01:47.6,55,15,0,Marcus Armstrong,Meyer Shank Racing,Road,R-AM,5
01:48.7,55,14,0,Marcus Ericsson,Andretti Global,Road,R-AM,21
01:47.1,55,13,0,Nolan Siegel,Arrow McLaren,Road,R-AM,8
01:47.7,55,11,0,Pato O'Ward,Arrow McLaren,Road,R-AM,17
01:48.3,55,22,0,Rinus VeeKay,Dale Coyne Racing,Road,R-AM,10
02:25.5,3,17,1,Robert Shwartzman,PREMA Racing,Road,R-AM,27
01:48.2,55,18,0,Santino Ferrucci,A.J. Foyt Enterprises,Road,R-AM,3
01:47.4,55,25,0,Scott Dixon,Chip Ganassi Racing,Road,R-AM,9
01:48.2,55,4,0,Scott McLaughlin,Team Penske,Road,R-AM,12
01:49.3,9,26,1,Sting Ray Robb,Juncos Hollinger Racing,Road,R-AM,26
01:48.2,55,8,0,Will Power,Team Penske,Road,R-AM,14
01:06.9,90,1,0,Alex Palou,Chip Ganassi Racing,Road,MOH,2
01:07.8,90,11,0,Alexander Rossi,Ed Carpenter Racing,Road,MOH,15
01:07.5,90,24,0,Callum Ilott,PREMA Racing,Road,MOH,13
01:06.8,90,2,0,Christian Lundgaard,Arrow McLaren,Road,MOH,3
01:07.7,36,16,1,Christian Rasmussen,Ed Carpenter Racing,Road,MOH,25
01:06.9,90,5,0,Colton Herta,Andretti Global,Road,MOH,4
01:08.1,90,12,0,Conor Daly,Juncos Hollinger Racing,Road,MOH,19
01:07.9,90,13,0,David Malukas,A.J. Foyt Enterprises,Road,MOH,17
01:07.5,90,23,0,Devlin DeFrancesco,Rahal Letterman Lanigan Racing,Road,MOH,20
01:07.3,90,15,0,Felix Rosenqvist,Meyer Shank Racing,Road,MOH,6
01:07.5,89,20,0,Graham Rahal,Rahal Letterman Lanigan Racing,Road,MOH,24
01:07.6,90,25,0,Jacob Abel,Dale Coyne Racing,Road,MOH,22
01:08.1,1,18,1,Josef Newgarden,Team Penske,Road,MOH,27
01:07.5,90,3,0,Kyffin Simpson,Chip Ganassi Racing,Road,MOH,10
01:07.5,90,7,0,Kyle Kirkwood,Andretti Global,Road,MOH,8
01:07.3,90,6,0,Louis Foster,Rahal Letterman Lanigan Racing,Road,MOH,14
01:07.2,90,8,0,Marcus Armstrong,Meyer Shank Racing,Road,MOH,7
01:07.6,90,10,0,Marcus Ericsson,Andretti Global,Road,MOH,12
01:07.6,90,4,0,Nolan Siegel,Arrow McLaren,Road,MOH,11
01:07.2,90,14,0,Pato O'Ward,Arrow McLaren,Road,MOH,5
01:07.9,90,26,0,Rinus VeeKay,Dale Coyne Racing,Road,MOH,9
01:07.7,90,27,0,Robert Shwartzman,PREMA Racing,Road,MOH,21
01:07.9,90,17,0,Santino Ferrucci,A.J. Foyt Enterprises,Road,MOH,16
01:07.1,90,9,0,Scott Dixon,Chip Ganassi Racing,Road,MOH,1
01:06.6,89,21,0,Scott McLaughlin,Team Penske,Road,MOH,23
01:07.7,90,19,0,Sting Ray Robb,Juncos Hollinger Racing,Road,MOH,18
01:08.1,11,22,1,Will Power,Team Penske,Road,MOH,26
